department,year,rd_budget,total_outlays,discretionary_outlays,gdp
NASA,2011,10147000000,3603100000000,1347100000000,15379000000000
DOE,2011,11902000000,3603100000000,1347100000000,15379000000000
HHS,2011,34773000000,3603100000000,1347100000000,15379000000000
NIH,2011,33265000000,3603100000000,1347100000000,15379000000000
NSF,2011,6127000000,3603100000000,1347100000000,15379000000000
USDA,2011,2637000000,3603100000000,1347100000000,15379000000000
Interior,2011,844000000,3603100000000,1347100000000,15379000000000
DOT,2011,1064000000,3603100000000,1347100000000,15379000000000
EPA,2011,649000000,3603100000000,1347100000000,15379000000000
DOC,2011,1357000000,3603100000000,1347100000000,15379000000000
DHS,2011,848000000,3603100000000,1347100000000,15379000000000
VA,2011,1294000000,3603100000000,1347100000000,15379000000000
Other,2011,1129000000,3603100000000,1347100000000,15379000000000
DOD,2012,81543000000,3536900000000,1286100000000,16027000000000
NASA,2012,12391000000,3536900000000,1286100000000,16027000000000
DOE,2012,11839000000,3536900000000,1286100000000,16027000000000
HHS,2012,34360000000,3536900000000,1286100000000,16027000000000
NIH,2012,32865000000,3536900000000,1286100000000,16027000000000
NSF,2012,6248000000,3536900000000,1286100000000,16027000000000
USDA,2012,2553000000,3536900000000,1286100000000,16027000000000
Interior,2012,898000000,3536900000000,1286100000000,16027000000000
DOT,2012,1007000000,3536900000000,1286100000000,16027000000000
EPA,2012,622000000,3536900000000,1286100000000,16027000000000
DOC,2012,1373000000,3536900000000,1286100000000,16027000000000
DHS,2012,527000000,3536900000000,1286100000000,16027000000000
VA,2012,1270000000,3536900000000,1286100000000,16027000000000
Other,2012,1448000000,3536900000000,1286100000000,16027000000000
DOD,2013,70583000000,3454600000000,1202200000000,16516000000000
NASA,2013,11845000000,3454600000000,1202200000000,16516000000000
DOE,2013,11528000000,3454600000000,1202200000000,16516000000000
HHS,2013,32095000000,3454600000000,1202200000000,16516000000000
NIH,2013,30522000000,3454600000000,1202200000000,16516000000000
NSF,2013,5739000000,3454600000000,1202200000000,16516000000000
USDA,2013,2279000000,3454600000000,1202200000000,16516000000000
Interior,2013,846000000,3454600000000,1202200000000,16516000000000
DOT,2013,881000000,3454600000000,1202200000000,16516000000000
EPA,2013,570000000,3454600000000,1202200000000,16516000000000
DOC,2013,1397000000,3454600000000,1202200000000,16516000000000
DHS,2013,737000000,3454600000000,1202200000000,16516000000000
VA,2013,1253000000,3454600000000,1202200000000,16516000000000
Other,2013,1846000000,3454600000000,1202200000000,16516000000000
DOD,2014,70341000000,3506100000000,1178600000000,17244000000000
NASA,2014,12432000000,3506100000000,1178600000000,17244000000000
DOE,2014,12686000000,3506100000000,1178600000000,17244000000000
HHS,2014,32438000000,3506100000000,1178600000000,17244000000000
NIH,2014,30938000000,3506100000000,1178600000000,17244000000000
NSF,2014,6135000000,3506100000000,1178600000000,17244000000000
USDA,2014,2517000000,3506100000000,1178600000000,17244000000000
Interior,2014,889000000,3506100000000,1178600000000,17244000000000
DOT,2014,843000000,3506100000000,1178600000000,17244000000000
EPA,2014,569000000,3506100000000,1178600000000,17244000000000
DOC,2014,1641000000,3506100000000,1178600000000,17244000000000
DHS,2014,1092000000,3506100000000,1178600000000,17244000000000
VA,2014,1165000000,3506100000000,1178600000000,17244000000000
Other,2014,1697000000,3506100000000,1178600000000,17244000000000
DOD,2015,69522000000,3688400000000,1168700000000,17983000000000
NASA,2015,11927000000,3688400000000,1168700000000,17983000000000
DOE,2015,15033000000,3688400000000,1168700000000,17983000000000
HHS,2015,31537000000,3688400000000,1168700000000,17983000000000
NIH,2015,30046000000,3688400000000,1168700000000,17983000000000
NSF,2015,6260000000,3688400000000,1168700000000,17983000000000
USDA,2015,2565000000,3688400000000,1168700000000,17983000000000
Interior,2015,903000000,3688400000000,1168700000000,17983000000000
DOT,2015,926000000,3688400000000,1168700000000,17983000000000
EPA,2015,544000000,3688400000000,1168700000000,17983000000000
DOC,2015,1596000000,3688400000000,1168700000000,17983000000000
DHS,2015,960000000,3688400000000,1168700000000,17983000000000
VA,2015,1231000000,3688400000000,1168700000000,17983000000000
Other,2015,1558000000,3688400000000,1168700000000,17983000000000
DOD,2016,75213000000,3852600000000,1185200000000,18470000000000
NASA,2016,13713000000,3852600000000,1185200000000,18470000000000
DOE,2016,15504000000,3852600000000,1185200000000,18470000000000
HHS,2016,33121000000,3852600000000,1185200000000,18470000000000
NIH,2016,31675000000,3852600000000,1185200000000,18470000000000
NSF,2016,6222000000,3852600000000,1185200000000,18470000000000
USDA,2016,2745000000,3852600000000,1185200000000,18470000000000
Interior,2016,1005000000,3852600000000,1185200000000,18470000000000
DOT,2016,910000000,3852600000000,1185200000000,18470000000000
EPA,2016,530000000,3852600000000,1185200000000,18470000000000
DOC,2016,1730000000,3852600000000,1185200000000,18470000000000
DHS,2016,602000000,3852600000000,1185200000000,18470000000000
VA,2016,1262000000,3852600000000,1185200000000,18470000000000
Other,2016,1653000000,3852600000000,1185200000000,18470000000000
DOD,2017,51862000000,3981600000000,1200200000000,19177000000000
NASA,2017,12361000000,3981600000000,1200200000000,19177000000000
DOE,2017,15032000000,3981600000000,1200200000000,19177000000000
HHS,2017,34758000000,3981600000000,1200200000000,19177000000000
NIH,2017,33052000000,3981600000000,1200200000000,19177000000000
NSF,2017,6040000000,3981600000000,1200200000000,19177000000000
USDA,2017,2625000000,3981600000000,1200200000000,19177000000000
Interior,2017,955000000,3981600000000,1200200000000,19177000000000
DOT,2017,936000000,3981600000000,1200200000000,19177000000000
EPA,2017,506000000,3981600000000,1200200000000,19177000000000
DOC,2017,1824000000,3981600000000,1200200000000,19177000000000
DHS,2017,735000000,3981600000000,1200200000000,19177000000000
VA,2017,1367000000,3981600000000,1200200000000,19177000000000
Other,2017,1553000000,3981600000000,1200200000000,19177000000000
